0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,label
0.493827,0.414243,0.429696,0.546575,0.974359,0.919305,0.213858,0.0,0.000648,0.0,0.0,0.031034,0.0,0.015585,0.052383,0.034981,0.0,0.0,0.613522,0.501086,0.616112,0.650994,0.001452,0.893145,0.003509,0.984444,0.0,0.638913,0.0,0.000303,0.657933,0.0,0.0,0.021429,0.639108,0.639108,0.0,0.0,0
0.506173,0.355065,0.411699,0.536986,0.974359,0.919305,0.213858,0.0,0.0,0.0,0.0,0.019828,0.0,0.00738,0.005706,0.00212,0.0,0.0,0.612565,0.500756,0.614253,0.649961,0.003631,0.893145,0.003509,0.984444,0.0,0.636962,0.0,0.000303,0.656496,0.0,0.0,0.028571,0.638122,0.638184,0.0,0.0,0
0.493827,0.341023,0.40045,0.528767,0.974359,0.919305,0.213858,0.0,0.0,0.0,0.0,0.026724,0.0,0.005867,0.004885,0.001193,0.0,0.0,0.609238,0.49869,0.611761,0.6473,0.001452,0.893145,0.003509,0.984444,0.0,0.63454,0.0,0.000303,0.653998,0.0,0.0,0.021429,0.636828,0.63689,0.0,0.0,0
0.493827,0.275827,0.368954,0.512329,0.974359,0.919305,0.21336,0.0,0.0,0.0,0.0,0.016379,0.0,0.005088,0.002381,0.001193,0.0,0.0,0.603553,0.493185,0.606462,0.641138,0.001452,0.891129,0.003509,0.984444,0.0,0.629474,0.0,0.000303,0.648554,0.0,0.0,0.0,0.633255,0.633255,0.0,0.0,0
0.481481,0.331996,0.373453,0.509589,0.974359,0.919305,0.21336,0.0,0.001573,0.0,0.0,0.033621,0.0,0.029795,0.082146,0.038823,0.0,0.0,0.600166,0.490496,0.602349,0.637831,0.001452,0.891129,0.003509,0.984444,0.0,0.625088,0.0,0.000303,0.644802,0.0,0.0,0.0,0.627587,0.627587,0.0,0.0,0
0.481481,0.36008,0.380202,0.506849,0.974359,0.919305,0.21336,0.0,0.0,0.0,0.0,0.009483,0.0,0.00463,0.003859,0.00106,0.0,0.0,0.596293,0.487658,0.598711,0.634218,0.002179,0.891129,0.003509,0.982222,0.0,0.621645,0.0,0.000303,0.641379,0.0,0.0,0.021429,0.625,0.625,0.0,0.0,0
0.481481,0.404213,0.394826,0.509589,0.974359,0.921348,0.215354,0.0,0.0,0.0,0.0,0.02931,0.0,0.006555,0.002422,0.001855,0.0,0.0,0.589996,0.48136,0.59268,0.628153,0.004357,0.893145,0.003509,0.984444,0.0,0.615322,0.0,0.000303,0.635435,0.0,0.0,0.021429,0.618716,0.618778,0.0,0.0,0
0.481481,0.389168,0.395951,0.506849,0.974359,0.92237,0.215852,0.0,0.0,0.0,0.0,0.022414,0.0,0.004355,0.002545,0.00106,0.0,0.0,0.590245,0.483218,0.592304,0.628573,0.000726,0.895161,0.003509,0.986667,0.0,0.614563,0.0,0.000303,0.634947,0.0,0.0,0.021429,0.617422,0.617422,0.0,0.0,0
0.469136,0.364092,0.390326,0.50274,0.974359,0.921348,0.214855,0.0,0.0,0.0,0.0,0.028448,0.0,0.004859,0.005091,0.000663,0.0,0.0,0.586096,0.478921,0.587796,0.62404,0.000726,0.893145,0.003509,0.984444,0.0,0.610243,0.0,0.000303,0.630842,0.0,0.0,0.028571,0.613048,0.613048,0.0,0.0,0
0.469136,0.371113,0.393701,0.50274,0.974359,0.920838,0.214357,0.0,0.0,0.0,0.0,0.024138,0.0,0.006005,0.004269,0.001458,0.0,0.0,0.580411,0.472953,0.581883,0.618169,0.000726,0.893145,0.003509,0.984444,0.0,0.603933,0.0,0.000303,0.624947,0.0,0.0,0.021429,0.606395,0.606395,0.0,0.0,0
0.469136,0.391174,0.40045,0.50274,0.974359,0.920327,0.213858,0.0,0.00074,0.0,0.0,0.043966,0.0,0.02159,0.048894,0.035378,0.0,0.0,0.578209,0.471632,0.580341,0.616249,0.001452,0.891129,0.003509,0.984444,0.0,0.602545,0.0,0.000605,0.623193,0.0,0.0,0.021429,0.604362,0.604362,0.0,0.0,0
0.45679,0.400201,0.408324,0.505479,0.974359,0.919816,0.212861,0.0,0.0,0.0,0.0,0.017241,0.0,0.005409,0.00312,0.00159,0.0,0.0,0.570248,0.4651,0.57166,0.608491,0.002905,0.891129,0.003509,0.984444,0.0,0.593263,0.0,0.000303,0.614776,0.0,0.0,0.0,0.595059,0.595059,0.0,0.0,0
0.45679,0.392177,0.409449,0.50411,0.974359,0.920327,0.21336,0.0,0.0,0.0,0.0,0.02069,0.0,0.007242,0.004557,0.001325,0.0,0.0,0.568962,0.463981,0.569683,0.606458,0.001452,0.891129,0.003509,0.984444,0.0,0.591247,0.0,0.000303,0.612741,0.0,0.0,0.0,0.593457,0.593457,0.0,0.0,0
0.45679,0.349047,0.395951,0.49726,0.974359,0.920327,0.21336,0.0,0.0,0.0,0.0,0.019828,0.0,0.005042,0.002463,0.00106,0.0,0.0,0.565176,0.460995,0.566499,0.603378,0.001452,0.893145,0.003509,0.984444,0.0,0.588014,0.0,0.000303,0.609672,0.0,0.0,0.021429,0.590808,0.590808,0.0,0.0,0
0.45679,0.310933,0.381327,0.489041,0.974359,0.920327,0.21336,0.0,0.003423,0.0,0.0,0.062069,0.0,0.032087,0.165401,0.038691,0.0,0.0,0.561041,0.458029,0.562604,0.599668,0.001452,0.893145,0.003509,0.984444,0.0,0.583968,0.0,0.000303,0.605823,0.0,0.0,0.028571,0.58705,0.58705,0.0,0.0,0
